Bus_num,Bus_Code,Voltage_Mag,Angle_Deg,Load_MW,Load_Mvar,Gen_MW,Gen_Mvar,GenQmax,GenQmin,posQc_negQc,ansVolage_Mag,ansAngle_Deg,ansLoad_MW,ansLoad_Mvar,ansGen_MW,ansGen_Mvar,Injected_MVAR
2,0,1,0,33,9,41,20,0,0,0,1.02692155644131,-6.46797048540561,33,9,41,20,0
3,0,1,0,49,9,0,0,0,0,0,1.01063739563476,-8.34759128808462,49,9,0,0,0
4,0,1,0,49,22,0,0,0,0,0,0.990513607440938,-8.33778782053488,49,22,0,0,0
1,1,1.03621818207621,0,0,0,0,0,0,0,0,1.03621818207621,0,0,0,55.8541072510486,-27.8901354858053,0
2,0,1,0,30,17,35,28,0,0,0,1.0284911580716,-0.929397686078531,30,17,35,28,0
3,0,1,0,32,13,0,0,0,0,0,1.01064246730931,-2.13908444465635,32,13,0,0,0
4,0,1,0,27,8,0,0,0,0,0,1.00613265139896,-1.70751435600832,27,8,0,0,0
1,1,1.05298816455586,0,0,0,0,0,0,0,0,1.05298816455586,0,0,0,80.6721366097928,-8.62863591211473,0
2,0,1,0,44,11,45,38,0,0,0,1.05820287981176,-6.81581839079644,44,11,45,38,0
3,0,1,0,30,22,0,0,0,0,0,1.03257849520972,-6.45106608878226,30,22,0,0,0
4,0,1,0,49,23,0,0,0,0,0,1.02838358324609,-6.81629896516806,49,23,0,0,0
1,1,1.06430585414181,0,0,0,0,0,0,0,0,1.06430585414181,0,0,0,66.6379606654001,-47.8536508446012,0
2,0,1,0,24,5,43,33,0,0,0,1.0838686785879,-2.86231718868068,24,5,43,33,0
3,0,1,0,43,8,0,0,0,0,0,1.06493901567539,-4.9427657185482,43,8,0,0,0
4,0,1,0,40,11,0,0,0,0,0,1.05651076162959,-6.70439210212172,40,11,0,0,0
1,1,1.072092518765,0,0,0,0,0,0,0,0,1.072092518765,0,0,0,78.6124522927641,11.0886648453276,0
2,0,1,0,35,14,39,25,0,0,0,1.04681969258554,-5.57669051957874,35,14,39,25,0
3,0,1,0,45,18,0,0,0,0,0,1.01875868858893,-7.01098787945245,45,18,0,0,0
4,0,1,0,35,12,0,0,0,0,0,1.01497034287297,-7.29996964376948,35,12,0,0,0
1,1,1.01784837725145,0,0,0,0,0,0,0,0,1.01784837725145,0,0,0,58.4100454936692,17.7759502738022,0
2,0,1,0,34,23,43,23,0,0,0,0.984232776527161,-3.43188090340238,34,23,43,23,0
3,0,1,0,26,20,0,0,0,0,0,0.972351230730497,-4.13127287743978,26,20,0,0,0
4,0,1,0,40,21,0,0,0,0,0,0.945824687302367,-6.18342374667336,40,21,0,0,0
